color,from,nikename,parent,subparent,l,a,b
茄皮紫,perchouli,,黑,紫,6.828810315,22.96112774,6.024956844
茄皮紫,DIC中国传统色,,黑,紫,33.23858397,12.0446992,0.523110071
茄皮紫,钧瓷色彩的特征与分类体系研究_王庆斌,,黑,紫,21.52745958,24.66833329,5.963706204
茄皮紫,中国色名综览_凑幸卫,,黑,紫,30.69429804,27.5028716,0.775962242
鸡冠紫,中国色名综览_凑幸卫,,赤,紫,43.80946586,34.7125489,-7.901135266
磨石紫,perchouli,,黑,紫,14.92446772,17.50364329,0.687878282
磨石紫,中国色名综览_凑幸卫,,黑,紫,43.86602559,27.21741149,-6.69707255
墨紫,perchouli,,黑,紫,8.721300579,24.42233239,3.481558937
墨紫,钧瓷色彩的特征与分类体系研究_王庆斌,,黑,紫,9.723303273,30.05316631,-21.03751326
墨紫,中国色名综览_凑幸卫,,黑,紫,32.2083798,34.36121352,-9.444342921
檀紫,perchouli,,黑,紫,12.86992737,22.82626691,1.849411476
檀紫,中国色名综览_凑幸卫,,黑,紫,41.17246856,25.88850773,-6.336319908
菜头紫,perchouli,,赤,紫,37.97861598,59.93148631,12.45645225
菜头紫,中国色名综览_凑幸卫,,赤,紫,46.27308686,47.42235117,-9.841129464
淡青紫,perchouli,,白,紫,83.9605436,13.13576877,-1.24823168
海象紫,perchouli,,黑,紫,19.07872973,30.27621748,2.23057087
海象紫,中国色名综览_凑幸卫,,黑,紫,41.20052289,28.10638425,-11.94171926
洋葱紫,perchouli,,赤,紫,47.66618935,53.99504279,3.369367695
洋葱紫,中国色名综览_凑幸卫,,黑,紫,55.29348731,21.50489692,-5.584895324
火鸡紫,中国色名综览_凑幸卫,,黑,紫,37.20715394,29.9866856,-7.473246024
绀紫,perchouli,,黑,紫,16.27513635,31.71856,2.886150737
绀紫,中国美色_中国国家地理,,黑,紫,31.23161464,68.76952353,-81.11450414
绀紫,中国色名综览_凑幸卫,,黑,紫,33.62001256,25.39510582,-7.126179161
绀紫,中国传统色彩图鉴_鸿洋,,黑,紫,17.67991677,48.62187163,-68.14153265
马鞭草紫,perchouli,,白,紫,91.66148724,5.64862967,-1.241803606
马鞭草紫,中国色名综览_凑幸卫,,白,紫,81.33370783,15.12661839,-10.25949225
古铜紫,perchouli,,黑,紫,14.61908784,33.7490428,3.769831858
古铜紫,中国色名综览_凑幸卫,,黑,紫,34.59675049,28.80569199,-7.245431161
真紫,乾隆色谱,,黑,紫,37,27,1
樱草紫,perchouli,,赤,紫,60.26352293,45.99007665,-5.324706141
樱草紫,中国色名综览_凑幸卫,,赤,紫,50.56265518,29.19989616,-6.413584347
苋菜紫,perchouli,,赤,紫,40.37334634,63.62704498,-3.308982604
苋菜紫,中国色名综览_凑幸卫,,黑,紫,32.98535374,34.40526546,-9.300608408
鸳鸯紫,中国色名综览_凑幸卫,,黑,紫,25.20656812,36.91173529,-11.50431917
龙睛鱼紫,perchouli,,黑,紫,22.81225988,26.4115884,-5.404082302
龙睛鱼紫,中国色名综览_凑幸卫,,黑,紫,41.20156868,13.3842182,-14.16624538
青蛤壳紫,perchouli,,赤,紫,64.1299406,33.86681649,-8.872671294
青蛤壳紫,中国色名综览_凑幸卫,,白,紫,71.58363968,26.81881837,-20.80157356
荆紫,中国色名综览_凑幸卫,,赤,紫,61.68125529,33.4116145,-19.35457974
萝兰紫,perchouli,,白,紫,66.92562707,30.3715642,-8.593606653
萝兰紫,中国色名综览_凑幸卫,,白,紫,64.19522034,30.17621764,-17.56444151
椹汁紫,中国色名综览_凑幸卫,,黑,紫,30.76037968,27.11175255,-20.92872193
