color,from,l,a,b
米黄,中国传统色彩图鉴_鸿洋,79.251,5.377,71.922
米黄,中国美色_中国国家地理,92.568,-0.89,5.192
米黄,钧瓷色彩的特征与分类体系研究_王庆斌,65.6112840917506,59.0980727804864,28.6729989979609
米黄,绞丝染色基本色谱_何进丰,87,4,34
米黄,染色样本士林类_何进丰,84,6,25
米黄,国标,90.3,0,7.2
秘色,中国传统色彩图鉴_鸿洋,63.829,-20.998,-7.861
秘色,中国美色_中国国家地理,83.366,-5.501,2.553
秘色,古色之美_青简,63.026,-7.545,3.602
秘色,中国颜色_黄仁达,88.988,-5.889,2.926
蜜黄,中国色名综览_凑幸卫,83.8614893977629,17.7031743133466,37.5435775780033
蜜黄,涤棉色谱_何进丰,89,1,43
蜜黄,色谱_perchouli,79.557,14.294,57.686
蜜黄,国标,87.9,5.3,37.5
明黄,中国传统色彩图鉴_鸿洋,85.854,-5.152,64.889
明黄,中国颜色_黄仁达,88.57,-3.148,72.379
明黄,DIC中国传统色,78.165,0.459,61.132
明黄,乾隆色谱_刘剑,79,1,73
明黄,国标,79.2,11.6,73.4
墨绿,染色样本硫化类_何进丰,27,-7,-6
墨绿,染色样本士林类_何进丰,27,-111,-7
墨绿,DIC中国传统色,35.88,-8.096,3.864
墨绿,国标,38.7,-11.8,6.7
墨色,中国传统色彩图鉴_鸿洋,31.109,-0.66,-3.339
墨色,中国美色_中国国家地理,40.009,-2.646,-9.217
墨色,古色之美_青简,13.927,-1.5,2.124
墨色,中国颜色_黄仁达,20.386,-0.069,-0.12
墨色,乾隆色谱_刘剑,37,1,0
嫩绿,中国色名综览_凑幸卫,61.681228223668,-29.7959889964124,39.1382340191513
嫩绿,涤棉色谱_何进丰,63,-27,31
嫩绿,中国传统色彩图鉴_鸿洋,69.509,-28.502,60.543
嫩绿,染色样本士林类_何进丰,73,-22,11
嫩绿,国标,81,-22.8,48.7
藕荷,中国色名综览_凑幸卫,81.348035379395,17.1780035019836,12.733608783723
藕荷,中国美色_中国国家地理,78.11,10.869,-3.539
藕荷,古色之美_青简,78.792,11.693,-3.461
藕荷,中国颜色_黄仁达,83.718,11.014,13.187
藕荷,色谱_perchouli,81.889,11.886,16.174
蘋婆绿,中国传统色彩图鉴_鸿洋,35.791,-11.557,8.141
蘋婆绿,中国美色_中国国家地理,55.857,-35.794,11.627
蘋婆绿,染色样本纳夫妥类_何进丰,32,-22,-8
蘋婆绿,染色样本士林类_何进丰,38,-41,-7
蘋婆绿,国标,39.4,-30.3,4.3
葡萄紫,中国色名综览_凑幸卫,41.2169858777241,12.4218548437386,-0.0858840910414659
葡萄紫,钧瓷色彩的特征与分类体系研究_王庆斌,20.8037770967609,5.85392489460365,-5.58813737865442
葡萄紫,古色之美_青简,21.528,5.268,-16.331
葡萄紫,色谱_perchouli,18.559,21.846,6.995
葡萄紫,国标,31.8,22.5,-19.3
漆黑,中国传统色彩图鉴_鸿洋,17.426,1.878,-0.923
漆黑,中国美色_中国国家地理,17.34,2.055,-2.624
漆黑,古色之美_青简,11.573,0.574,1.111
漆黑,中国颜色_黄仁达,10.679,3.261,-4.534
浅粉红,涤棉色谱_何进丰,85,33,7
浅粉红,涤棉色谱_何进丰,82,42,10
浅粉红,涤棉色谱_何进丰,76,38,5
浅粉红,染色样本士林类_何进丰,80,18,8
浅湖兰,涤棉色谱_何进丰,86,-7,0
浅湖兰,涤棉色谱_何进丰,84,-10,-4
浅湖兰,涤棉色谱_何进丰,83,-8,-7
浅湖兰,绞丝染色基本色谱_何进丰,82,-15,0
浅灰,涤棉色谱_何进丰,77,1,2
浅灰,涤棉色谱_何进丰,70,0,4
浅灰,涤棉色谱_何进丰,64,1,2
浅灰,涤棉色谱_何进丰,59,-4,-1
浅灰,涤棉色谱_何进丰,50,-5,-4
浅灰,中国传统色彩图鉴_鸿洋,81.432,-1.357,-6.496
浅灰,染色样本士林类_何进丰,65,-1,-4
浅灰,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,85.47,0.67,1.51
浅灰,色谱_perchouli,85.152,0.494,5.176
浅兰,涤棉色谱_何进丰,73,-8,-18
浅兰,涤棉色谱_何进丰,67,-9,-18
浅兰,涤棉色谱_何进丰,62,-7,-27
浅兰,涤棉色谱_何进丰,55,-2,-29
浅蓝,中国传统色彩图鉴_鸿洋,79.411,-13.428,-18.007
浅蓝,染色样本纳夫妥类_何进丰,46,-5,-30
浅蓝,染色样本士林类_何进丰,51,-5,-29
浅蓝,国标,82.6,-10.4,-17.6
浅雪青,涤棉色谱_何进丰,85,7,-6
浅雪青,涤棉色谱_何进丰,80,11,-12
浅雪青,涤棉色谱_何进丰,65,-13,-19
浅雪青,涤棉色谱_何进丰,61,24,-20
浅雪青,绞丝染色基本色谱_何进丰,67,19,-14
浅雪青,染色样本纳夫妥类_何进丰,51,18,-25
浅血牙,涤棉色谱_何进丰,87,12,28
浅血牙,涤棉色谱_何进丰,82,23,26
浅血牙,涤棉色谱_何进丰,75,36,35
浅血牙,染色样本纳夫妥类_何进丰,67,45,17
浅血牙,DIC中国传统色,83.776,8.927,3.832
茜红,涤棉色谱_何进丰,58,52,16
茜红,中国传统色彩图鉴_鸿洋,44.521,50.375,13.877
茜红,古色之美_青简,59.824,41.763,11.648
茜红,中国颜色_黄仁达,44.726,41.672,31.866
茜红,国标,44.9,41.5,8.7
青,先秦色彩_肖世孟,25,20,-58
青,古色之美_青简,41.612,-20.568,-44.405
青,中国颜色_黄仁达,43.486,7.823,-39.026
青,乾隆色谱_刘剑,16,3,-6
青,国标,71.1,-22.6,-15.4
青翠,中国色名综览_凑幸卫,61.5147908475427,-44.9244660819779,5.55689373341272
青翠,中国传统色彩图鉴_鸿洋,56.969,-49.387,39.147
青翠,钧瓷色彩的特征与分类体系研究_王庆斌,30.982462630985,-31.8445158668644,-4.61580363319545
